Date,Total Posts
10/31/17,5
11/1/17,6
11/2/17,3
11/3/17,3
11/4/17,6
11/5/17,4
11/6/17,11
11/7/17,11
11/8/17,7
11/9/17,5
11/10/17,23
11/11/17,1
11/12/17,4
11/13/17,2
11/14/17,2
11/15/17,4
11/16/17,3
11/17/17,1
11/18/17,2
11/19/17,6
11/20/17,2
11/21/17,7
11/22/17,4
11/23/17,2
11/24/17,5
11/25/17,3
11/26/17,4
11/27/17,4
11/28/17,5
11/29/17,4
11/30/17,4
12/1/17,3
12/2/17,2
12/3/17,4
12/4/17,5
12/5/17,3
12/6/17,2
12/7/17,2
12/8/17,5
12/9/17,7
12/10/17,8
12/11/17,6
12/12/17,4
12/13/17,3
12/14/17,3
12/15/17,3
12/16/17,7
12/17/17,23
12/18/17,5
12/19/17,5
12/20/17,6
12/21/17,6
12/22/17,6
12/23/17,9
12/24/17,6
12/25/17,21
12/26/17,6
12/27/17,6
12/28/17,4
12/29/17,6
12/30/17,6
12/31/17,7
1/1/18,3
1/2/18,11
1/3/18,11
1/4/18,5
1/5/18,7
1/6/18,9
1/7/18,8
1/8/18,5
1/9/18,4
1/10/18,7
1/11/18,8
1/12/18,4
1/13/18,7
1/14/18,8
1/15/18,6
1/16/18,7
1/17/18,8
1/18/18,8
1/19/18,3
1/20/18,5
1/21/18,8
1/22/18,2
1/23/18,1
1/24/18,3
1/25/18,7
1/26/18,5
1/27/18,4
1/28/18,8
1/29/18,8
1/30/18,3
1/31/18,3
2/1/18,1
2/2/18,9
2/3/18,4
2/4/18,14
2/5/18,7
2/6/18,10
2/7/18,7
2/8/18,7
2/9/18,5
2/10/18,4
2/11/18,5
2/12/18,9
2/13/18,6
2/14/18,2
2/15/18,4
2/16/18,1
2/17/18,2
2/18/18,9
2/19/18,6
2/20/18,2
2/21/18,14
2/22/18,14
2/23/18,4
2/24/18,10
2/25/18,9
2/26/18,10
2/27/18,8
2/28/18,4
3/1/18,8
3/2/18,3
3/3/18,6
3/4/18,10
3/5/18,10
3/6/18,4
3/7/18,7
3/8/18,6
3/9/18,6
3/10/18,8
3/11/18,11
3/12/18,6
3/13/18,9
3/14/18,5
3/15/18,5
3/16/18,2
3/17/18,8
3/18/18,5
3/19/18,9
3/20/18,17
3/21/18,6
3/22/18,7
3/23/18,3
3/24/18,3
3/25/18,3
3/26/18,7
3/27/18,5
3/28/18,4
3/29/18,8
3/30/18,7
3/31/18,5
4/1/18,3
4/2/18,6
4/3/18,8
4/4/18,8
4/5/18,6
4/6/18,6
4/7/18,2
4/8/18,4
4/9/18,4
4/10/18,3
4/11/18,7
4/12/18,10
4/13/18,8
4/14/18,6
4/15/18,7
4/16/18,4
4/17/18,4
4/18/18,2
4/19/18,7
4/20/18,11
4/21/18,10
4/22/18,9
4/23/18,15
4/24/18,11
4/25/18,10
4/26/18,11
4/27/18,4
4/28/18,9
4/29/18,11
4/30/18,8
5/1/18,10
5/2/18,16
5/3/18,5
5/4/18,7
5/5/18,8
5/6/18,7
5/7/18,8
5/8/18,10
5/9/18,2
5/10/18,7
5/11/18,3
5/12/18,7
5/13/18,6
5/14/18,7
5/15/18,2
5/16/18,6
5/17/18,4
5/18/18,3
5/19/18,13
5/20/18,13
5/21/18,13
5/22/18,5
5/23/18,9
5/24/18,5
5/25/18,5
5/26/18,4
5/27/18,6
5/28/18,9
5/29/18,11
5/30/18,12
5/31/18,7
6/1/18,9
6/2/18,13
6/3/18,8
6/4/18,13
6/5/18,15
6/6/18,15
6/7/18,8
6/8/18,11
6/9/18,10
6/10/18,8
6/11/18,9
6/12/18,5
6/13/18,5
6/14/18,9
6/15/18,8
6/16/18,13
6/17/18,10
6/18/18,13
6/19/18,10
6/20/18,3
6/21/18,10
6/22/18,9
6/23/18,7
6/24/18,6
6/25/18,2
6/26/18,5
6/27/18,2
6/28/18,3
6/29/18,7
6/30/18,10
7/1/18,26
7/2/18,10
7/3/18,6
7/4/18,6
7/5/18,17
7/6/18,12
7/7/18,8
7/8/18,10
7/9/18,13
7/10/18,4
7/11/18,12
7/12/18,10
7/13/18,10
7/14/18,24
7/15/18,31
7/16/18,12
7/17/18,7
7/18/18,12
7/19/18,10
7/20/18,10
7/21/18,3
7/22/18,8
7/23/18,18
7/24/18,7
7/25/18,25
7/26/18,46
7/27/18,66
7/28/18,16
7/29/18,19
7/30/18,28
7/31/18,16
8/1/18,26
8/2/18,20
8/3/18,28
8/4/18,9
8/5/18,7
8/6/18,3
8/7/18,6
8/8/18,9
8/9/18,10
8/10/18,8
8/11/18,14
8/12/18,12
8/13/18,11
8/14/18,10
8/15/18,9
8/16/18,8
8/17/18,18
8/18/18,15
8/19/18,10
8/20/18,9
8/21/18,9
8/22/18,10
8/23/18,15
8/24/18,13
8/25/18,11
8/26/18,8
8/27/18,6
8/28/18,10
8/29/18,16
8/30/18,14
8/31/18,13
9/1/18,13
9/2/18,24
9/3/18,11
9/4/18,14
9/5/18,16
9/6/18,7
9/7/18,7
9/8/18,5
9/9/18,26
9/10/18,14
9/11/18,4
9/12/18,12
9/13/18,10
9/14/18,13
9/15/18,15
9/16/18,12
9/17/18,6
9/18/18,7
9/19/18,18
9/20/18,12
9/21/18,6
9/22/18,11
9/23/18,17
9/24/18,7
9/25/18,9
9/26/18,18
9/27/18,21
9/28/18,15
9/29/18,18
9/30/18,16
