project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P104525,2,1,2,2,2,2,2,2,2,20
P104687,3,2,2,3,1,3,2,2,2,15
P104806,3,2,3,3,2,2,3,3,2,10
P104881,3,2,3,3,2,3,2,2,2,16
P105024,2,1,3,3,3,2,2,2,3,19
P105101,3,2,3,3,4,3,2,2,2,13
P105269,4,2,4,3,2,4,2,2,2,8
P105311,2,1,2,3,1,1,1,2,2,11
P105680,4,3,4,3,3,4,2,3,4,17
P105860,2,2,3,3,2,2,2,2,2,21
P106161,3,2,3,3,3,3,2,1,2,17
P106172,3,2,2,2,3,4,4,2,2,15
P106216,2,2,3,2,2,4,2,2,1,18
P106235,3,3,3,2,1,1,3,3,1,11
P106259,3,1,3,3,4,4,2,1,2,20
P106261,2,1,2,1,2,1,2,1,1,18
P106284,2,1,1,1,2,3,2,3,2,19
P106390,3,3,2,2,2,2,2,3,3,15
P106685,2,2,2,2,3,3,2,2,2,4
P106735,2,2,2,3,2,2,2,2,2,12
P106752,2,1,1,2,2,1,1,1,1,18
P106909,2,1,1,1,2,3,1,1,1,16
P106975,3,3,2,4,3,2,2,2,2,14
P106982,2,2,3,2,2,3,2,1,1,11
P107137,2,2,2,3,1,2,2,1,1,14
P107146,3,2,2,4,2,2,1,2,2,17
P107159,3,2,3,3,2,2,1,2,2,13
P107314,3,3,3,3,2,2,2,2,3,10
P107343,4,2,3,3,4,4,2,2,2,11
P107350,2,2,1,2,2,2,2,2,2,10
P107473,2,1,1,1,2,2,1,1,1,14
P107598,2,1,2,2,2,1,1,1,1,11
P107617,2,1,2,2,3,2,2,2,1,11
P107648,2,2,3,2,1,2,2,1,2,14
P107649,2,3,2,2,1,2,2,2,2,15
P107722,3,2,3,3,2,2,2,3,3,9
P107782,3,2,3,3,2,3,2,2,2,11
P107992,1,1,1,2,2,2,1,1,1,17
P107998,2,2,2,3,2,2,2,2,2,17
P108005,2,2,2,2,2,2,1,1,1,16
P108023,2,1,2,2,3,2,2,2,1,16
P108143,3,2,2,4,3,4,2,2,2,14
P108440,2,1,2,3,2,4,4,2,2,13
P108443,2,1,2,2,3,3,1,1,2,14
P108654,2,2,2,2,2,2,2,1,2,13
P109224,3,2,3,3,2,3,3,2,2,13
P109736,3,2,1,3,2,3,3,3,2,12
P109961,2,2,1,2,2,3,2,1,1,19
P110051,1,1,2,1,1,2,2,2,1,13
P110075,1,1,1,2,1,1,1,1,1,13
P110099,3,1,2,3,2,3,3,2,3,22
P110156,3,2,3,3,2,3,2,2,2,12
P110371,2,4,2,3,1,1,1,3,1,20
P110481,2,1,2,2,1,1,1,1,1,11
P110599,2,1,2,2,2,2,2,2,1,13
P110679,2,1,2,2,3,3,2,2,1,17
P110693,3,1,3,3,2,2,3,3,4,11
P110959,3,3,3,3,2,3,3,1,3,11
P111034,3,4,3,2,1,2,3,3,2,11
P111153,3,3,3,3,2,2,2,1,2,15
P111155,3,3,2,3,2,3,3,2,3,12
P111272,2,3,2,2,3,3,2,2,1,17
P111394,2,1,2,2,3,4,2,2,2,12
P111421,3,3,3,3,2,1,1,3,3,11
P111432,2,2,2,2,2,2,2,2,2,14
P111479,3,3,3,3,1,2,1,3,2,12
P111545,3,1,3,2,2,3,3,1,2,17
P111548,3,3,2,3,2,2,2,1,2,14
P111556,3,3,3,3,2,4,2,2,3,15
P111567,2,2,3,3,2,2,1,2,1,14
P111577,3,2,3,3,2,2,2,3,2,10
P111592,3,1,2,2,3,3,2,3,1,14
P111669,2,3,2,2,2,2,2,1,2,10
P111760,3,2,3,4,1,2,2,1,2,11
