project_id,risk_overall,risk_environment_and_social,risk_fiduciary,risk_institutional_capacity,risk_macroeconomic,risk_political_and_governance,risk_sector_strategies_and_policies,risk_stakeholders,risk_technical_design,risk_rating_sequence
P126364,2,2,2,3,3,1,2,2,2,11
P126372,2,2,4,2,1,3,2,2,2,10
P126440,2,1,1,2,2,1,1,2,1,9
P126452,2,1,1,3,3,2,1,2,3,8
P126454,3,3,2,3,2,1,1,1,2,10
P126498,2,3,2,4,2,2,3,2,3,7
P126504,3,3,3,3,2,2,2,1,3,10
P126507,3,2,3,3,2,3,3,2,2,5
P126516,3,2,2,3,2,2,4,3,3,7
P126537,2,1,1,1,3,2,1,1,2,9
P126579,3,4,2,2,2,2,2,2,2,9
P126596,3,2,2,2,2,2,1,2,3,8
P126611,3,3,2,3,2,2,2,2,2,10
P126661,3,2,2,3,3,2,3,3,3,4
P126663,2,1,2,2,2,3,2,2,2,9
P126744,3,2,3,4,3,4,4,2,3,11
P126773,3,3,4,4,2,3,3,3,2,5
P126782,2,1,3,3,2,3,2,1,1,9
P126813,2,3,2,2,2,2,1,2,2,9
P126817,3,3,3,4,2,1,1,3,3,9
P126832,3,3,2,3,1,2,2,3,2,6
P126833,4,2,4,4,2,4,2,3,1,11
P126848,3,1,3,3,2,3,3,3,3,5
P126856,2,2,2,3,2,2,2,2,3,9
P126875,2,1,1,2,2,3,2,2,2,6
P126902,2,2,3,3,1,2,2,2,2,6
P126964,4,2,2,4,3,4,3,4,2,7
P126974,2,1,2,3,2,3,2,2,2,7
P127033,3,1,2,2,1,1,3,1,3,7
P127035,3,1,1,2,2,3,2,3,3,9
P127036,2,1,3,3,2,1,1,1,3,9
P127079,4,1,4,4,4,4,3,2,2,10
P127086,1,1,1,2,1,1,1,2,1,5
P127088,3,2,2,4,1,2,2,3,3,10
P127143,4,2,4,3,2,2,2,2,3,8
P127156,2,3,2,2,3,2,1,1,1,11
P127163,2,2,2,2,3,4,1,2,2,9
P127187,4,4,4,4,4,4,4,4,4,10
P127203,3,1,1,3,3,4,2,2,1,7
P127204,2,2,3,3,1,3,3,1,1,11
P127209,3,2,3,3,4,4,3,3,3,6
P127226,3,3,3,3,2,1,1,1,3,6
P127241,4,4,4,3,2,4,4,3,3,7
P127245,2,1,1,4,2,2,2,1,3,7
P127254,2,2,2,2,3,3,2,2,2,8
P127258,4,3,2,2,4,4,2,2,1,8
P127303,3,2,3,3,4,4,2,2,2,9
P127306,3,1,2,2,3,3,2,1,3,8
P127308,2,2,2,2,2,2,2,2,2,10
P127328,3,1,3,3,2,3,2,1,2,8
P127338,3,2,3,4,4,2,2,2,4,6
P127388,2,2,2,3,3,3,2,2,2,10
P127486,2,2,2,2,3,3,2,1,2,18
P127490,1,1,1,2,1,1,2,1,2,9
P127508,3,3,2,3,3,3,2,3,3,9
P127543,3,4,3,4,2,3,3,4,4,8
P127676,3,1,3,2,3,3,2,3,2,9
P127702,2,1,2,2,3,2,1,2,2,10
P127723,3,2,2,1,2,3,2,2,2,7
P127725,3,3,3,2,1,2,2,2,3,3
P127741,2,2,2,2,1,3,2,2,2,7
P127743,3,2,3,3,2,2,2,1,3,10
P127759,3,3,1,2,2,3,1,3,1,9
P127764,3,4,2,1,2,3,3,3,3,5
P127775,2,1,2,2,1,2,1,2,2,7
P127807,3,1,3,3,4,3,3,3,2,10
P127813,2,1,3,2,1,1,1,1,1,6
P127837,3,2,2,4,2,3,3,3,3,5
P127867,3,3,2,3,2,1,2,2,2,8
P127876,2,1,2,2,3,3,2,1,3,7
P127966,2,2,3,3,2,3,2,2,2,7
P127974,3,3,2,2,2,2,3,3,1,3
P127978,3,3,2,3,2,3,2,2,1,5
P128012,2,2,3,2,2,4,2,1,2,3
P128048,4,2,3,3,4,4,4,2,4,7
P128050,2,2,1,2,2,2,2,1,1,10
P128072,3,2,3,3,2,3,2,2,2,7
P128208,2,1,2,3,2,3,2,3,2,10
P128276,3,3,3,3,2,3,2,3,3,7
P128307,3,2,3,3,2,3,2,2,2,7
P128332,3,1,2,3,2,3,3,3,2,10
P128344,2,2,2,2,2,3,2,3,2,5
P128378,3,1,1,2,3,3,2,2,2,8
P128393,4,4,3,3,4,2,2,4,3,7
P128416,2,1,1,3,1,1,2,1,1,9
P128437,3,1,2,3,2,3,2,1,3,5
P128442,2,1,3,2,1,2,1,1,1,9
P128443,3,4,2,3,3,3,2,2,2,8
P128534,3,2,3,3,3,4,3,2,3,9
P128628,4,1,4,4,4,4,3,2,3,8
P128644,4,4,4,4,4,4,4,4,4,9
P128768,3,2,2,3,2,2,3,2,2,7
P128831,3,1,3,3,2,2,2,2,2,8
P128832,3,1,4,4,1,3,3,2,4,9
P128867,2,2,2,2,1,1,1,2,2,9
P128887,4,3,3,3,4,4,4,3,2,6
P128891,3,2,3,3,3,3,1,2,2,16
P128904,3,1,3,2,2,2,2,3,2,5
P128905,3,1,2,3,1,2,2,1,3,10
P128909,3,2,3,4,3,3,2,3,4,9
P128919,3,4,2,3,2,1,3,2,3,5
P128938,4,2,1,4,3,4,3,2,1,11
P128939,2,1,1,2,3,2,3,2,1,11
P128940,3,1,1,2,2,2,2,2,1,11
P128950,1,2,1,1,1,2,1,1,1,10
P128968,2,2,2,2,2,2,2,2,1,5
P129156,3,2,2,3,3,3,3,3,3,7
P129267,3,1,3,3,2,2,2,4,2,7
P129326,2,2,2,2,2,2,2,2,2,9
P129342,3,1,3,3,3,2,2,2,3,4
P129397,2,1,2,2,3,2,2,2,2,7
P129401,3,2,3,2,1,1,1,2,2,8
P129408,3,2,3,3,2,3,3,2,2,7
P129431,3,2,2,2,3,1,1,2,2,10
P129472,3,1,3,2,3,3,3,2,2,7
P129524,3,2,3,3,3,2,2,3,3,8
P129539,2,2,2,3,2,2,2,2,2,8
P129563,3,2,2,3,1,1,1,1,3,8
P129565,2,1,1,2,3,3,2,1,1,9
P129600,3,1,4,3,2,3,2,1,2,6
P129633,2,2,2,2,3,2,1,1,2,4
P129640,3,1,4,3,2,2,2,2,3,5
P129647,2,2,2,2,1,2,1,2,2,7
P129663,3,3,3,3,3,3,3,3,3,10
P129688,1,1,2,2,1,2,1,2,1,8
P129713,4,3,3,4,3,4,3,2,3,8
P129774,2,1,2,2,2,2,2,1,1,10
P129791,3,3,2,4,1,1,2,3,3,7
P129825,3,1,3,3,1,1,2,2,2,7
P129828,3,2,3,3,2,3,2,2,3,8
P129847,2,2,2,2,2,3,2,2,2,8
P129861,2,1,2,2,3,4,2,2,2,9
P129920,3,3,3,4,3,4,3,1,2,7
P129961,2,1,2,2,2,2,2,2,1,7
P129992,3,3,3,4,2,4,2,2,4,7
P130013,2,2,2,3,1,1,2,2,2,7
P130014,2,2,2,2,1,2,2,1,1,8
P130091,3,1,3,3,4,3,2,2,2,11
P130164,2,2,2,3,1,1,2,2,3,10
P130174,4,4,4,4,2,4,4,4,4,9
P130182,2,2,2,2,1,1,1,2,2,7
P130193,3,1,3,4,3,4,3,4,3,4
P130202,4,1,2,4,3,4,4,4,4,9
P130222,3,2,3,3,3,4,3,3,3,8
P130276,3,3,4,4,2,3,2,2,4,8
P130299,2,1,3,2,1,1,2,1,1,9
P130328,3,2,3,3,3,4,3,2,3,11
P130339,3,2,2,4,2,3,2,2,2,12
P130343,1,1,1,1,1,1,2,1,1,8
P130413,2,2,2,2,2,2,2,1,2,7
P130421,2,1,2,2,2,2,1,1,1,7
P130471,2,2,2,2,2,3,2,2,2,10
P130474,2,3,2,2,2,1,2,3,2,5
P130492,3,1,1,4,3,3,4,2,2,7
P130512,2,1,1,1,2,1,2,2,1,9
P130544,3,2,3,3,1,2,3,3,3,4
P130548,3,3,2,3,2,2,2,4,3,7
P130592,3,1,4,4,1,3,4,4,4,4
P130682,2,2,2,2,3,2,1,2,2,7
P130694,3,2,3,3,2,4,3,3,2,8
P130710,4,2,3,3,3,4,4,4,4,4
P130735,3,3,3,3,2,2,3,3,3,7
P130786,3,1,2,3,1,1,1,3,3,8
P130801,3,1,3,3,3,3,2,2,2,9
P130819,3,1,3,3,3,3,2,2,2,9
P130835,4,2,4,4,3,4,3,4,3,9
P130840,3,2,3,3,2,3,2,2,2,6
P130864,1,1,1,1,2,2,2,1,1,8
P130865,4,2,2,2,4,4,1,2,1,10
P130871,3,2,3,3,3,3,2,3,2,2
P130878,3,1,3,3,3,3,3,2,3,8
P130888,2,1,2,2,2,1,1,2,2,6
P130891,3,1,1,2,4,4,2,1,2,6
P131013,2,1,2,4,1,2,2,2,1,7
P131029,3,1,1,3,2,3,2,2,3,9
P131049,2,2,3,3,2,2,2,3,2,9
P131084,4,2,3,4,3,4,4,2,3,6
P131094,2,2,2,2,2,3,2,2,1,9
P131118,3,3,2,3,2,2,2,3,3,5
P131194,3,2,2,3,2,2,1,2,2,9
P131201,3,2,3,2,2,2,3,3,3,6
P131228,3,2,3,4,3,3,3,2,2,3
P131235,1,2,2,2,1,2,1,2,2,9
P131256,3,2,2,2,2,2,3,2,3,6
P131263,2,2,2,1,1,4,3,1,1,33
P131290,3,1,3,3,3,4,3,3,3,7
P131323,3,3,2,3,3,2,1,3,1,7
P131324,3,3,3,4,3,3,3,2,2,5
P131331,2,2,3,2,2,2,1,3,2,10
P131394,3,2,3,3,3,3,2,2,2,9
P131408,2,2,2,2,2,2,2,2,2,5
P131426,4,2,4,4,4,4,4,4,4,5
P131464,3,2,3,3,2,1,1,4,3,6
P131550,4,4,4,3,3,4,4,4,3,6
P131558,2,2,2,1,1,2,1,2,1,6
P131592,2,2,3,2,2,3,2,3,1,5
P131655,3,3,2,4,2,3,2,3,3,5
P131659,4,2,3,3,3,4,2,4,2,7
P131660,2,2,3,2,3,3,2,2,1,7
P131709,2,2,2,1,2,2,2,2,2,8
P131765,3,4,3,3,1,1,2,1,2,7
P131778,3,3,2,3,1,2,1,2,2,4
P131825,3,1,3,3,2,2,2,2,3,9
P131850,3,2,3,4,3,4,2,2,3,6
P131864,3,2,4,4,3,4,3,1,2,7
P131965,2,2,2,3,3,2,1,2,2,7
P131973,4,2,3,4,4,4,3,4,2,8
P132101,3,3,2,3,3,3,3,3,2,9
P132123,3,2,3,3,2,3,2,3,2,5
P132154,3,3,2,3,2,1,2,2,3,9
P132157,3,2,3,2,2,2,2,3,2,7
P132173,3,2,2,3,1,1,1,3,2,8
P132268,2,2,3,1,2,3,1,2,2,6
P132270,3,2,3,3,3,4,3,2,3,6
P132277,3,2,3,3,2,1,2,2,3,6
P132306,2,2,2,1,2,4,3,2,2,8
P132308,3,2,3,3,2,4,3,3,2,4
P132314,1,1,2,1,2,2,1,2,1,8
P132317,2,2,2,3,2,3,2,3,2,7
P132381,4,1,2,4,4,4,3,3,4,6
P132386,3,2,3,3,3,4,3,3,2,5
P132405,3,1,3,3,2,3,2,2,2,6
P132418,2,2,3,3,1,2,2,2,1,6
P132431,2,1,2,2,3,2,2,2,2,8
P132443,3,2,2,3,3,3,3,2,1,5
P132490,2,2,2,3,2,2,2,2,2,6
P132500,4,2,3,4,3,4,3,4,2,11
P132505,3,3,1,4,1,4,1,3,2,7
P132515,3,2,2,3,2,3,3,2,3,3
P132562,3,3,3,3,2,1,2,2,2,2
P132585,3,1,3,4,1,3,3,2,3,8
P132616,3,1,3,3,2,4,4,3,2,8
P132617,3,2,4,4,4,4,3,2,3,8
P132620,3,1,2,2,1,1,1,2,2,3
P132621,3,3,2,3,2,1,2,2,3,5
P132623,2,2,2,2,2,2,2,2,2,5
P132634,3,2,3,3,1,3,3,2,2,9
P132652,2,2,2,3,3,3,2,2,2,10
P132667,3,1,3,3,2,3,3,2,3,6
P132698,3,2,2,4,2,2,2,2,2,6
P132739,3,2,2,3,1,2,2,2,2,7
P132741,3,2,2,2,3,3,3,3,2,5
P132742,3,1,2,3,3,4,3,2,2,9
P132750,4,3,4,2,2,4,4,1,1,7
P132754,3,2,4,4,2,3,3,2,3,3
P132775,2,2,2,2,1,2,1,2,3,5
P132821,3,3,4,4,3,3,3,3,3,5
P132833,3,3,3,3,2,3,2,1,2,3
P132846,3,3,3,3,2,2,2,3,3,4
P132873,3,2,2,3,1,1,2,2,2,5
P132944,4,4,3,4,4,3,3,3,3,3
P132979,4,2,2,3,4,3,3,4,4,5
P132982,2,2,3,2,3,3,2,2,2,5
P133000,3,2,3,3,1,2,2,2,3,5
P133017,3,3,2,2,1,1,2,2,3,6
P133018,2,1,2,2,2,2,1,2,1,6
P133021,3,2,3,3,1,2,1,2,2,7
P133045,3,1,4,3,3,3,2,2,2,5
P133069,3,3,3,3,2,3,2,2,3,7
P133070,3,1,3,3,3,2,1,1,2,7
P133079,3,2,2,3,4,2,2,2,2,7
P133114,3,2,3,3,2,1,2,2,3,7
P133116,3,2,2,3,1,2,2,2,3,7
P133117,3,3,2,3,1,1,2,2,3,5
P133129,3,2,2,2,3,3,2,2,2,5
P133133,3,2,3,3,1,4,2,3,2,8
P133184,3,3,3,4,2,2,2,3,4,7
P133193,3,1,2,2,2,2,2,3,3,5
P133195,2,2,3,3,2,2,3,2,2,5
P133261,3,2,2,4,1,2,1,1,3,6
P133288,2,2,2,3,2,2,2,2,2,4
P133305,3,3,3,3,2,3,2,1,1,3
P133312,3,3,3,3,2,3,3,3,3,4
P133326,3,2,2,3,1,2,1,1,3,5
P133327,2,1,2,2,3,3,2,2,2,9
P133333,3,1,2,3,2,2,2,3,3,7
P133338,4,2,4,3,3,4,3,2,3,7
P133352,3,2,1,3,2,4,3,3,4,6
P133424,3,1,3,3,3,3,2,2,2,6
P133445,3,2,3,4,3,3,2,3,2,6
P133446,3,2,3,4,2,3,3,2,2,6
P133456,3,3,2,3,2,2,2,2,3,5
P133531,3,2,1,2,3,2,2,1,2,7
P133557,2,2,2,3,1,2,1,2,2,8
P133590,3,3,1,2,2,3,1,1,1,6
P133591,1,3,1,3,1,2,1,2,1,7
P133597,3,1,3,3,2,2,2,2,3,6
P133610,4,3,3,4,4,4,3,3,2,5
P133613,4,2,4,4,2,4,4,2,3,7
P133620,3,2,4,3,2,3,2,3,2,7
P133653,2,2,2,3,2,3,2,2,2,8
P133703,2,2,2,2,3,3,2,1,2,7
P133705,2,1,2,2,2,2,1,1,1,7
P133731,3,1,3,2,4,2,2,3,2,5
P133780,3,3,3,3,3,3,1,3,2,6
P133828,2,2,2,2,2,2,2,2,2,6
P143036,3,2,3,3,3,3,2,2,2,7
P143055,3,2,3,3,3,3,2,1,3,6
P143064,2,1,2,2,2,2,2,2,2,5
P143184,2,1,1,3,1,1,1,1,4,6
P143185,2,1,2,3,2,2,1,1,1,3
P143197,3,1,2,3,3,3,2,2,2,5
P143274,4,1,3,4,3,3,3,3,3,7
P143302,3,3,2,3,2,3,2,2,2,7
P143332,2,2,2,3,2,3,2,2,2,4
P143334,3,1,4,4,3,3,1,2,2,4
P143367,1,1,3,2,1,1,1,1,2,7
P143382,2,2,3,3,3,4,3,2,2,8
P143408,4,4,2,3,3,1,3,4,4,8
P143417,4,3,4,3,2,4,3,3,3,7
P143492,3,2,2,2,1,3,1,3,3,5
P143580,2,1,2,3,1,3,3,1,2,6
P143588,2,1,3,3,3,2,2,2,1,6
P143594,4,2,4,4,4,4,2,4,3,6
P143608,3,1,2,3,1,1,1,2,3,5
P143650,3,1,3,2,4,4,2,2,3,8
P143652,3,1,3,2,2,2,3,2,2,7
P143689,2,2,2,2,2,2,2,1,2,4
P143751,2,3,2,2,2,1,2,3,2,6
P143801,3,2,2,2,2,4,2,2,2,5
P143841,3,3,4,3,4,3,3,2,2,9
P143842,4,2,4,4,4,4,3,4,2,4
P143843,3,1,2,2,2,3,2,2,2,7
P143844,2,2,1,2,2,3,2,2,2,6
P143849,3,2,2,2,3,3,2,1,2,8
P143914,1,1,1,1,1,1,1,1,1,7
P143915,4,3,4,3,4,4,2,2,2,8
P143921,3,2,2,3,2,3,2,2,2,6
P143940,3,3,3,3,3,3,2,2,1,8
P143988,3,3,3,3,1,2,3,2,2,8
P143993,3,2,3,3,2,2,3,2,2,7
P143995,3,1,3,3,2,2,3,2,4,6
P143996,3,2,4,3,4,3,3,3,2,9
P144029,4,2,4,4,2,3,2,4,4,4
P144102,2,2,3,3,3,3,2,1,2,5
P144103,3,1,2,4,3,3,3,2,3,6
P144134,3,1,2,3,1,3,2,2,1,8
P144135,4,2,2,4,3,3,4,3,4,4
P144139,4,1,4,4,4,4,2,2,2,6
P144140,1,1,2,2,2,1,1,1,1,6
P144183,1,2,1,1,2,2,1,2,1,3
P144270,2,1,1,2,1,1,1,1,1,6
P144271,3,4,3,3,2,3,2,3,2,5
P144305,4,1,2,4,3,3,2,4,2,6
P144335,4,3,3,4,1,4,4,2,4,9
P144336,3,1,4,4,3,3,3,3,3,4
P144442,4,3,3,3,2,3,3,3,3,7
P144447,1,1,2,1,1,1,1,2,1,6
P144454,4,2,3,3,4,4,3,4,3,4
P144489,4,2,4,3,4,3,3,2,2,6
P144497,3,1,3,3,1,3,1,1,3,4
P144531,2,1,1,2,1,1,1,1,1,6
P144534,2,3,1,2,2,3,2,1,1,5
P144573,3,3,3,3,3,2,2,2,3,5
P144597,3,2,4,4,2,2,2,3,3,3
P144614,4,3,3,4,3,4,3,3,3,6
P144637,3,2,3,3,2,3,2,2,2,4
P144688,3,1,1,3,2,4,3,3,2,6
P144700,3,3,3,2,3,4,3,3,3,6
P144726,2,2,3,3,2,2,2,3,2,4
P144832,3,1,3,4,3,2,3,3,4,8
P144856,3,1,2,2,1,3,1,2,3,6
P144893,3,2,3,3,4,3,3,2,2,6
P144933,3,1,1,2,4,4,1,2,1,8
P144952,2,1,2,2,2,2,2,2,2,6
P145037,4,2,3,2,2,4,2,2,2,5
P145040,2,2,2,3,2,2,2,2,2,3
P145054,4,2,2,3,3,4,3,4,2,6
P145055,3,2,3,2,3,3,2,3,3,5
P145057,4,1,3,4,3,3,4,2,4,8
P145101,3,4,3,4,2,3,2,3,1,7
P145162,2,2,1,1,2,2,2,2,2,8
P145171,3,1,2,2,2,4,4,3,4,5
P145174,3,2,3,4,3,3,3,2,3,8
P145196,4,2,2,3,4,4,1,1,3,6
P145234,3,2,2,3,1,3,3,3,3,5
P145261,3,1,2,3,3,3,2,2,3,5
P145263,2,1,2,2,3,4,2,1,2,6
P145268,3,2,3,3,3,3,3,2,4,7
P145309,3,3,3,3,3,3,4,3,3,4
P145317,3,1,2,2,3,4,3,3,2,4
P145335,3,1,2,3,3,3,3,2,2,7
P145347,4,4,3,3,1,4,3,2,2,3
P145391,2,3,1,2,2,2,2,2,2,4
P145502,3,2,2,3,1,2,1,1,3,7
P145529,3,2,1,2,1,1,1,2,1,7
P145533,3,3,2,3,1,2,2,3,2,4
P145534,3,3,3,3,2,3,2,2,2,7
P145544,2,2,3,3,2,2,2,1,3,7
P145545,3,3,3,3,2,1,1,1,2,8
P145554,3,1,3,3,4,4,2,3,3,6
P145559,4,4,3,3,2,3,2,3,3,5
P145566,3,2,2,3,3,4,3,2,2,3
P145585,3,1,2,3,2,2,3,2,3,5
P145586,2,1,2,2,1,1,2,2,3,6
P145610,4,3,2,4,2,3,4,4,4,4
P145617,3,1,3,3,3,2,2,3,2,5
P145618,3,2,2,2,2,2,2,2,3,4
P145621,2,2,2,1,1,2,2,2,2,6
P145634,4,4,4,3,4,4,2,4,2,6
P145686,3,2,2,2,2,2,2,3,2,3
P145699,3,1,3,3,3,3,3,3,3,4
P145741,3,3,2,3,3,3,3,2,2,6
P145747,3,2,3,3,3,4,3,3,4,6
P145765,2,1,2,2,3,3,1,2,2,3
P145778,4,4,2,4,2,2,3,1,2,6
P145782,1,1,1,1,3,1,1,2,1,6
P145792,1,1,2,1,1,1,1,1,2,7
P145799,3,2,3,3,2,3,2,3,1,7
P145813,3,1,3,3,3,3,2,2,2,5
P145848,3,2,2,2,2,3,2,3,2,6
P145861,3,1,3,3,3,3,2,3,2,6
P145965,3,1,3,4,3,4,2,2,3,7
P146007,2,2,2,2,2,3,2,2,2,6
P146015,4,2,3,3,3,4,3,3,3,7
P146143,2,1,1,2,2,2,1,2,1,7
P146152,3,1,4,4,2,2,2,4,2,3
P146184,3,2,3,3,4,3,2,2,3,3
P146194,2,1,2,2,3,2,2,2,1,6
P146199,2,2,3,2,3,2,2,1,2,5
P146244,1,1,1,2,2,2,1,1,1,6
P146247,3,3,4,3,2,1,3,1,2,3
P146248,2,3,2,3,2,2,2,2,2,6
P146250,3,1,3,4,3,4,3,3,2,6
P146294,3,1,4,3,2,3,2,2,2,4
P146314,2,1,2,2,2,2,2,1,2,6
P146318,3,1,3,3,3,3,2,1,3,6
P146319,4,2,3,4,3,4,3,4,2,6
P146328,3,2,3,3,3,3,3,3,3,4
P146332,3,3,3,2,2,3,2,3,2,6
P146334,3,2,3,4,3,3,3,2,3,4
P146344,3,1,3,4,3,4,3,2,2,5
P146451,3,1,3,3,3,3,2,4,2,4
P146460,2,2,1,1,3,2,1,1,1,7
P146464,3,3,3,3,3,3,3,1,3,5
P146474,3,1,3,3,3,3,3,3,3,6
P146482,4,4,4,4,2,4,2,3,3,5
P146502,3,3,2,2,3,4,2,2,1,4
P146515,3,1,2,2,1,2,1,3,4,5
P146520,3,1,3,3,1,4,3,2,2,6
P146653,2,2,2,2,2,2,1,2,2,8
P146666,2,2,2,2,3,2,2,2,2,2
P146688,3,1,3,3,3,3,3,2,3,5
P146696,4,3,2,4,3,4,4,4,2,6
P146788,2,1,1,1,2,3,2,1,1,6
P146797,3,3,3,4,3,4,3,3,3,5
P146804,3,1,2,4,2,3,3,2,2,3
P146827,3,3,3,3,3,4,3,3,3,3
P146830,4,3,3,4,3,3,3,4,3,4
P146831,3,1,2,3,2,2,3,2,2,5
P146877,2,1,2,3,2,2,1,2,1,7
P146883,3,3,3,2,2,4,3,3,2,6
P146933,3,2,3,3,3,3,2,2,2,3
P146965,3,2,3,3,3,2,1,1,3,3
P146970,2,3,2,2,2,3,2,2,3,5
P146994,3,1,3,4,3,2,3,3,3,6
P146997,3,1,2,3,3,2,2,2,2,3
P147006,3,2,2,3,1,3,4,3,2,8
P147010,3,2,3,2,3,3,2,2,2,5
P147050,3,1,2,3,2,2,2,3,3,5
P147157,2,1,2,2,2,2,1,2,1,6
P147183,1,1,1,1,2,2,2,1,1,6
P147185,2,2,2,2,2,2,1,2,2,6
P147212,3,1,2,3,2,2,3,3,4,7
P147213,3,2,2,3,3,2,3,2,3,5
P147250,2,1,2,3,2,2,1,2,2,6
P147272,2,1,2,2,2,1,2,1,2,3
P147277,2,2,2,3,1,2,2,2,1,3
P147280,3,3,3,3,4,3,2,2,3,3
P147343,3,1,2,3,2,2,3,3,3,6
P147348,3,3,1,3,2,2,1,2,2,5
P147356,3,4,2,2,1,3,2,2,2,5
P147367,2,2,2,2,1,2,1,1,1,5
P147381,3,3,2,3,2,1,2,3,2,3
P147402,3,1,4,4,4,4,4,3,3,9
P147460,2,3,2,2,2,3,2,3,3,4
P147489,3,2,3,2,3,3,3,2,3,6
P147499,3,3,2,3,3,3,2,3,2,3
P147514,2,1,3,3,2,2,2,2,2,9
P147521,2,2,2,2,2,2,2,2,2,5
P147555,3,2,3,3,3,3,2,2,3,5
P147629,3,3,4,4,2,4,3,3,3,6
P147638,3,2,4,3,3,3,2,4,3,5
P147665,3,2,3,3,3,2,2,2,3,6
P147674,3,2,3,3,3,4,2,3,3,6
P147689,2,2,2,2,2,2,2,2,2,8
P147705,3,1,3,3,3,3,2,1,2,5
P147740,3,1,3,3,2,2,2,2,3,6
P147758,3,1,3,3,4,3,3,1,3,5
P147760,2,1,3,3,2,2,2,1,1,5
P147827,3,2,3,3,2,3,3,3,2,4
P147839,3,1,3,3,2,2,3,2,3,5
P147924,2,2,2,2,2,1,2,2,2,7
P148013,2,1,2,4,3,2,1,2,3,5
P148023,2,1,2,2,4,2,2,1,2,6
P148048,1,2,3,1,2,1,1,1,1,6
P148052,3,2,4,4,3,3,2,2,3,6
P148062,2,1,2,2,3,3,2,2,2,5
P148071,3,2,3,3,1,1,2,2,2,4
P148110,2,1,1,3,1,2,2,1,1,7
P148114,3,1,3,3,3,3,3,3,2,6
P148127,3,2,3,3,3,3,2,1,2,4
P148129,3,2,2,3,2,1,2,2,3,4
P148181,2,2,3,3,2,2,2,2,2,4
P148183,2,3,2,2,3,3,1,2,2,5
P148238,1,1,2,3,1,1,1,1,1,6
P148259,4,2,3,4,3,4,4,3,3,4
P148291,3,2,3,3,4,3,3,3,2,4
P148294,3,2,3,3,2,1,3,2,3,3
P148447,3,2,3,2,2,3,1,2,3,3
P148499,3,2,3,3,3,3,3,3,3,4
P148523,3,3,2,3,2,1,2,2,3,3
P148527,3,2,3,3,2,2,2,2,2,3
P148560,3,2,3,4,2,2,2,2,2,8
P148585,2,1,3,2,2,3,1,2,1,5
P148591,3,3,3,3,2,3,2,3,1,4
P148599,2,2,2,2,2,1,2,1,2,4
P148604,3,2,2,3,1,2,1,2,3,7
P148647,3,2,3,3,2,3,3,2,3,3
P148737,3,3,3,4,3,3,1,2,3,5
P148797,4,3,3,4,4,4,2,3,3,6
P148809,4,3,4,4,2,4,3,3,4,5
P148836,3,1,2,4,3,2,3,3,3,4
P148839,3,2,3,2,3,3,2,2,2,4
P148850,2,3,3,3,2,3,1,2,2,4
P148853,3,3,2,3,2,3,2,3,3,4
P148868,2,2,2,2,2,1,2,3,2,6
P148970,3,2,3,3,3,3,3,3,2,4
P149005,2,1,2,3,3,3,2,2,2,4
P149049,4,3,2,3,2,4,2,4,2,3
P149091,3,2,2,3,2,2,2,2,3,4
P149117,3,3,3,3,2,3,3,2,2,3
P149130,3,2,2,3,2,2,2,2,2,5
P149176,3,2,3,4,4,4,3,2,3,4
P149182,3,1,3,3,1,2,2,3,1,3
P149233,4,2,4,4,3,4,3,2,3,5
P149242,2,2,2,2,3,3,3,2,2,6
P149277,3,1,3,3,3,3,2,2,2,3
P149282,3,2,2,3,1,2,2,2,3,4
P149286,2,2,2,2,2,3,2,3,1,4
P149322,4,2,3,3,4,4,3,3,3,4
P149323,3,2,3,3,2,4,3,2,3,4
P149377,2,1,2,2,4,2,1,1,2,3
P149410,3,1,3,2,3,3,2,2,1,6
P149493,3,2,3,3,2,3,2,2,3,5
P149526,3,2,2,2,2,4,2,1,2,4
P149553,3,2,3,3,2,3,3,1,2,4
P149599,2,2,3,3,2,2,3,2,2,4
P149605,2,2,2,2,2,2,2,2,2,5
P149670,2,1,1,2,1,2,1,3,2,4
P149683,4,2,3,4,2,3,2,2,4,3
P149697,2,2,2,2,2,2,2,1,2,5
P149714,3,2,3,3,2,4,3,4,3,5
P149724,3,2,1,2,3,3,3,3,3,8
P149858,2,1,3,2,2,2,2,1,1,5
P149872,3,1,3,2,1,2,1,1,3,3
P149884,4,1,3,3,4,4,3,2,3,7
P149895,2,1,1,2,1,1,1,1,2,6
P149913,3,1,2,3,2,3,2,2,3,4
P149952,3,2,2,2,2,2,2,1,4,3
P149953,2,1,3,2,2,1,1,1,3,3
P149955,2,2,1,2,2,3,2,1,2,3
P149960,4,4,3,4,3,4,1,3,4,6
P149965,2,2,2,2,2,3,2,2,2,4
P149969,3,2,3,3,1,3,2,2,2,3
P149971,4,2,4,4,4,3,3,2,2,3
P150028,2,3,2,3,2,3,2,2,2,5
P150058,3,1,3,3,2,3,1,3,4,4
P150066,3,4,3,3,3,4,3,2,2,4
P150080,3,1,3,3,4,2,3,3,4,5
P150113,4,3,2,3,2,3,2,4,3,6
P150148,3,1,4,3,2,4,2,3,2,3
P150158,3,3,2,2,1,1,2,1,1,5
P150183,3,1,3,3,2,3,2,2,3,5
P150327,3,3,3,3,3,2,1,2,2,3
P150351,2,1,2,1,1,1,2,1,1,4
P150357,3,2,3,3,3,3,2,2,2,4
P150374,4,1,2,4,1,4,1,4,2,2
P150381,3,1,3,2,4,2,2,4,2,4
